Symbol;ISIN;Description;Region;Classification;Curr;Type;Start
SXXE;EU0009658186;DJES EUR (Price);Eurozone;Benchmark;EUR;Price;15-Jun-98
SXXK;EU0009659028;DJES USD (Price);Eurozone;Benchmark;USD;Price;15-Jun-98
SXXT;EU0009658194;DJES EUR (Return);Eurozone;Benchmark;EUR;Return;15-Jun-98
SXXU;EU0009659036;DJES USD (Return);Eurozone;Benchmark;USD;Return;15-Jun-98
BKXE;CH0009119378;DJES TMI EUR (Price);Eurozone;Benchmark;EUR;Price;20-Nov-00
BKXK;CH0009119469;DJES TMI USD (Price);Eurozone;Benchmark;USD;Price;20-Nov-00
BKXT;CH0009119642;DJES TMI EUR (Return);Eurozone;Benchmark;EUR;Return;20-Nov-00
BKXU;CH0009119667;DJES TMI USD (Return);Eurozone;Benchmark;USD;Return;20-Nov-00
EUETML;CH0019767703;DJS EU Enlarg TMI USD (Price);EU Enlarged;Benchmark;USD;Price;27-Oct-04
EUETMP;CH0019767687;DJS EU Enlarg TMI EUR (Price);EU Enlarged;Benchmark;EUR;Price;27-Oct-04
EUETMR;CH0019767745;DJS EU Enlarg TMI EUR (Return);EU Enlarged;Benchmark;EUR;Return;27-Oct-04
EUETMV;CH0019767760;DJS EU Enlarg TMI USD (Return);EU Enlarged;Benchmark;USD;Return;27-Oct-04
SXXR;EU0009658210;DJS 600 EUR (Return);Europe;Benchmark;EUR;Return;15-Jun-98
SXXL;EU0009659044;DJS 600 USD (Price);Europe;Benchmark;USD;Price;15-Jun-98
SXXP;EU0009658202;DJS 600 EUR (Price);Europe;Benchmark;EUR;Price;15-Jun-98
SXXV;EU0009659051;DJS 600 USD (Return);Europe;Benchmark;USD;Return;15-Jun-98
DJA1;US26061N1000;DJS Amr600 USD (Price);Americas;Benchmark;USD;Price;01-Jul-03
DJA1E; ;DJS Am600 EUR (Price);Americas;Benchmark;EUR;Price;01-Jul-03
DJA1R; ;DJS Amr600 EUR (Return);Americas;Benchmark;EUR;Return;01-Jul-03
DJA1V; ;DJS Am600 USD (Return);Americas;Benchmark;USD;Return;01-Jul-03
DJP1;US26061P1057;DJS Ap600 USD (Price);Asia/Pacific;Benchmark;USD;Price;01-Jul-03
DJP1E; ;DJS Ap600 EUR (Price);Asia/Pacific;Benchmark;EUR;Price;01-Jul-03
DJP1R; ;DJS Ap600 EUR (Return);Asia/Pacific;Benchmark;EUR;Return;01-Jul-03
DJP1V; ;DJS Ap600 USD (Return);Asia/Pacific;Benchmark;USD;Return;01-Jul-03
DJP2;US26066L1254;DJS AP 600xJP USD (Price);Asia/Pacific;Benchmark;USD;Price;10-Dec-03
DJP2E;US26066L1171;DJS AP 600xJP EUR (Price);Asia/Pacific;Benchmark;EUR;Price;10-Dec-03
DJP2R;US26066M1154;DJS AP 600xJP EUR (Return);Asia/Pacific;Benchmark;EUR;Return;10-Dec-03
DJP2V;US26066M1238;DJS AP 600xJP USD (Return);Asia/Pacific;Benchmark;USD;Return;10-Dec-03
SXBXL;CH0042895315;DJSB TMI USD (Price);Balkan;Benchmark;USD;Price;07-Oct-08
SXBXP;CH0042895323;DJSB TMI EUR (Price);Balkan;Benchmark;EUR;Price;07-Oct-08
SXBXR;CH0042895331;DJSB TMI EUR (Return);Balkan;Benchmark;EUR;Return;07-Oct-08
SXBXV;CH0042895349;DJSB TMI USD (Return);Balkan;Benchmark;USD;Return;07-Oct-08
SXBAL;CH0042344751;DJSB TMI ex GR&TR USD (Price);Balkan;Benchmark;USD;Price;07-Oct-08
SXBAP;CH0042344769;DJSB TMI ex GR&TR EUR (Price);Balkan;Benchmark;EUR;Price;07-Oct-08
SXBAR;CH0042344777;DJSB TMI ex GR&TR EUR (Return);Balkan;Benchmark;EUR;Return;07-Oct-08
SXBAV;CH0042344785;DJSB TMI ex GR&TR USD (Return);Balkan;Benchmark;USD;Return;07-Oct-08
EEBL;CH0042344835;DJSEE 300 USD (Price);Eastern Europe;Benchmark;USD;Price;07-Oct-08
EEBP;CH0042344843;DJSEE 300 EUR (Price);Eastern Europe;Benchmark;EUR;Price;07-Oct-08
EEBR;CH0042344868;DJSEE 300 EUR (Return);Eastern Europe;Benchmark;EUR;Return;07-Oct-08
EEBV;CH0042344884;DJSEE 300 USD (Return);Eastern Europe;Benchmark;USD;Return;07-Oct-08
EETML;CH0042344579;DJSEE TMI USD (Price);Eastern Europe;Benchmark;USD;Price;07-Oct-08
EETMP;CH0042344587;DJSEE TMI EUR (Price);Eastern Europe;Benchmark;EUR;Price;07-Oct-08
EETMR;CH0042344603;DJSEE TMI EUR (Return);Eastern Europe;Benchmark;EUR;Return;07-Oct-08
EETMV;CH0042344611;DJSEE TMI USD (Return);Eastern Europe;Benchmark;USD;Return;07-Oct-08
SXXA;CH0004120264;DJS ex EURO EUR (Price);Europe ex Eurozone;Benchmark;EUR;Price;15-Apr-99
SXXB;CH0004120488;DJS ex EURO EUR (Return);Europe ex Eurozone;Benchmark;EUR;Return;15-Apr-99
SXXC;CH0004120306;DJS ex EURO USD (Price);Europe ex Eurozone;Benchmark;USD;Price;15-Apr-99
SXXD;CH0004120595;DJS ex EURO USD (Return);Europe ex Eurozone;Benchmark;USD;Return;15-Apr-99
BKXA;CH0008286467;DJS ex EURO TMI EUR (Price);Europe ex Eurozone;Benchmark;EUR;Price;20-Nov-00
BKXB;CH0008286749;DJS ex EURO TMI EUR (Return);Europe ex Eurozone;Benchmark;EUR;Return;20-Nov-00
BKXC;CH0008286533;DJS ex EURO TMI USD (Price);Europe ex Eurozone;Benchmark;USD;Price;20-Nov-00
BKXD;CH0008287325;DJS ex EURO TMI USD (Return);Europe ex Eurozone;Benchmark;USD;Return;20-Nov-00
SXXF;CH0004350754;DJS ex UK EUR (Price);Europe ex UK;Benchmark;EUR;Price;15-Apr-99
SXXG;CH0004352958;DJS ex UK EUR (Return);Europe ex UK;Benchmark;EUR;Return;15-Apr-99
SXXH;CH0004350796;DJS ex UK USD (Price);Europe ex UK;Benchmark;USD;Price;15-Apr-99
SXXI;CH0004353055;DJS ex UK USD (Return);Europe ex UK;Benchmark;USD;Return;15-Apr-99
BKXF;CH0008192640;DJS ex UK TMI EUR (Price);Europe ex UK;Benchmark;EUR;Price;20-Nov-00
BKXG;CH0008193184;DJS ex UK TMI EUR (Return);Europe ex UK;Benchmark;EUR;Return;20-Nov-00
BKXH;CH0008193150;DJS ex UK TMI USD (Price);Europe ex UK;Benchmark;USD;Price;20-Nov-00
BKXI;CH0008193200;DJS ex UK TMI USD (Return);Europe ex UK;Benchmark;USD;Return;20-Nov-00
DJW1;US26061Q1031;DJS Glob1800 USD (Price);Global;Benchmark;USD;Price;01-Jul-03
DJW1E;;DJS Gl1800 EUR (Price);Global;Benchmark;EUR;Price;01-Jul-03
DJW1R;;DJS Glob1800 EUR (Return);Global;Benchmark;EUR;Return;01-Jul-03
DJW1V;;DJS Glob1800 USD (Return);Global;Benchmark;USD;Return;01-Jul-03
DJW0;US26061R1014;DJS Gl1800xAm USD (Price);Global;Benchmark;USD;Price;01-Jul-03
DJW0E;;DJS Gl1800xAm EUR (Price);Global;Benchmark;EUR;Price;01-Jul-03
DJW0R;;DJS Gl1800xAm EUR (Return);Global;Benchmark;EUR;Return;01-Jul-03
DJW0V;;DJS Gl1800xAm USD (Return);Global;Benchmark;USD;Return;01-Jul-03
DJW9;US26061Y1064;DJS Gl1800xAP USD (Price);Global;Benchmark;USD;Price;01-Jul-03
DJW9E;;DJS Gl1800xAP EUR (Price);Global;Benchmark;EUR;Price;01-Jul-03
DJW9R;;DJS Gl1800xAP EUR (Return);Global;Benchmark;EUR;Return;01-Jul-03
DJW9V;;DJS Gl1800xAP USD (Return);Global;Benchmark;USD;Return;01-Jul-03
DJW8;US26062A1079;DJS Gl1800xEu USD (Price);Global;Benchmark;USD;Price;01-Jul-03
DJW8E;;DJS Gl1800xEu EUR (Price);Global;Benchmark;EUR;Price;01-Jul-03
DJW8R;;DJS Gl1800xEu EUR (Return);Global;Benchmark;EUR;Return;01-Jul-03
DJW8V;;DJS Gl1800xEu USD (Return);Global;Benchmark;USD;Return;01-Jul-03
DJJP;;DJS Gl1800 Japan JPY (Price);Asia/Pacific;Benchmark;JPY;Price;01-Jul-03
DJJPD;;DJS Gl1800 Japan USD (Price);Asia/Pacific;Benchmark;USD;Price;01-Jul-03
DJJPE;;DJS Gl1800 Japan EUR (Price);Asia/Pacific;Benchmark;EUR;Price;01-Jul-03
DJJPR;;DJS Gl1800 Japan JPY (Return);Asia/Pacific;Benchmark;JPY;Return;01-Jul-03
DJJPV;;DJS Gl1800 Japan USD (Return);Asia/Pacific;Benchmark;USD;Return;01-Jul-03
DJJR;;DJS Gl1800 Japan EUR (Return);Asia/Pacific;Benchmark;EUR;Return;01-Jul-03
DKXG;CH0006575010;DJS NORDIC EUR (Return);Nordic;Benchmark;EUR;Return;01-Jul-99
DKXH;CH0006575002;DJS NORDIC USD (Price);Nordic;Benchmark;USD;Price;01-Jul-99
DKXI;CH0006575028;DJS NORDIC USD (Return);Nordic;Benchmark;USD;Return;01-Jul-99
DKXY;CH0037485239;DJS NORDIC SEK (Return);Nordic;Benchmark;SEK;Return;21-Apr-08
DKXNY;CH0037486088;DJS NORDIC NOK (Return);Nordic;Benchmark;NOK;Return;21-Apr-08
DKXDY;CH0037486930;DJS NORDIC DKK (Return);Nordic;Benchmark;DKK;Return;21-Apr-08
DKXF;CH0006574997;DJS NORDIC EUR (Price);Nordic;Benchmark;EUR;Price;01-Jul-99
DKXX;CH0037485247;DJS NORDIC SEK (Price);Nordic;Benchmark;SEK;Price;21-Apr-08
DKXNX;CH0037486138;DJS NORDIC NOK (Price);Nordic;Benchmark;NOK;Price;21-Apr-08
DKXDX;CH0037486948;DJS NORDIC DKK (Price);Nordic;Benchmark;DKK;Price;21-Apr-08
BDXL;CH0011455414;DJS NORDIC TMI USD (Price);Nordic;Benchmark;USD;Price;20-Nov-00
BDXP;CH0011455406;DJS NORDIC TMI EUR (Price);Nordic;Benchmark;EUR;Price;20-Nov-00
BDXR;CH0011455422;DJS NORDIC TMI EUR (Return);Nordic;Benchmark;EUR;Return;20-Nov-00
BDXV;CH0011455430;DJS NORDIC TMI USD (Return);Nordic;Benchmark;USD;Return;20-Nov-00
BDXX;CH0037485361;DJS NORDIC TMI SEK (Price);Nordic;Benchmark;SEK;Price;21-Apr-08
BDXY;CH0037485387;DJS NORDIC TMI SEK (Return);Nordic;Benchmark;SEK;Return;21-Apr-08
BDXNX;CH0037486245;DJS NORDIC TMI NOK (Price);Nordic;Benchmark;NOK;Price;21-Apr-08
BDXNY;CH0037486278;DJS NORDIC TMI NOK (Return);Nordic;Benchmark;NOK;Return;21-Apr-08
BDXDX;CH0037487060;DJS NORDIC TMI DKK (Price);Nordic;Benchmark;DKK;Price;21-Apr-08
BDXDY;CH0037487078;DJS NORDIC TMI DKK (Return);Nordic;Benchmark;DKK;Return;21-Apr-08
SXYL;CH0043274486;DJSSB TMI USD (Price);Sub Balkan;Benchmark;USD;Price;07-Oct-08
SXYP;CH0043274510;DJSSB TMI EUR (Price);Sub Balkan;Benchmark;EUR;Price;07-Oct-08
SXYR;CH0043274528;DJSSB TMI EUR (Return);Sub Balkan;Benchmark;EUR;Return;07-Oct-08
SXYV;CH0043274536;DJSSB TMI USD (Return);Sub Balkan;Benchmark;USD;Return;07-Oct-08
BKXL;CH0009119758;DJS TMI USD (Price);Europe;Benchmark;USD;Price;20-Nov-00
BKXP;CH0009119717;DJS TMI EUR (Price);Europe;Benchmark;EUR;Price;20-Nov-00
BKXR;CH0009119766;DJS TMI EUR (Return);Europe;Benchmark;EUR;Return;20-Nov-00
BKXV;CH0009119782;DJS TMI USD (Return);Europe;Benchmark;USD;Return;20-Nov-00
SX5E;EU0009658145;DJES 50 EUR (Price);Eurozone;Blue-chip;EUR;Price;15-Jun-98
SX5K;EU0009658988;DJES 50 USD (Price);Eurozone;Blue-chip;USD;Price;15-Jun-98
SX5T;EU0009658152;DJES 50 EUR (Return);Eurozone;Blue-chip;EUR;Return;15-Jun-98
SX5U;EU0009658996;DJES 50 USD (Return);Eurozone;Blue-chip;USD;Return;15-Jun-98
SX5L;EU0009659002;DJS 50 USD (Price);Europe;Blue-chip;USD;Price;15-Jun-98
SX5P;EU0009658160;DJS 50 EUR (Price);Europe;Blue-chip;EUR;Price;15-Jun-98
SX5R;EU0009658178;DJS 50 EUR (Return);Europe;Blue-chip;EUR;Return;15-Jun-98
SX5V;EU0009659010;DJS 50 USD (Return);Europe;Blue-chip;USD;Return;15-Jun-98
EUE15L;CH0019767497;DJS EU Enlarg 15 USD (Price);EU Enlarged;Blue-chip;USD;Price;27-Oct-04
EUE15P;CH0019767471;DJS EU Enlarg 15 EUR (Price);EU Enlarged;Blue-chip;EUR;Price;27-Oct-04
EUE15R;CH0019767513;DJS EU Enlarg 15 EUR (Return);EU Enlarged;Blue-chip;EUR;Return;27-Oct-04
EUE15V;CH0019767612;DJS EU Enlarg 15 USD (Return);EU Enlarged;Blue-chip;USD;Return;27-Oct-04
SXB5P;CH0034148038;DJS Balkan 50 EUR (Price);Balkan;Blue-chip;EUR;Price;05-Nov-07
SXB5R;CH0034148046;DJS Balkan 50 EUR (Return);Balkan;Blue-chip;EUR;Return;05-Nov-07
SXB5L;CH0034148053;DJS Balkan 50 USD (Price);Balkan;Blue-chip;USD;Price;05-Nov-07
SXB5V;CH0034148061;DJS Balkan 50 USD (Return);Balkan;Blue-chip;USD;Return;05-Nov-07
EEBCL;CH0042344793;DJSEE 50 USD (Price);Eastern Europe;Blue-chip;USD;Price;07-Oct-08
EEBCP;CH0042344801;DJSEE 50 EUR (Price);Eastern Europe;Blue-chip;EUR;Price;07-Oct-08
EEBCR;CH0042344819;DJSEE 50 EUR (Return);Eastern Europe;Blue-chip;EUR;Return;07-Oct-08
EEBCV;CH0042344827;DJSEE 50 USD (Return);Eastern Europe;Blue-chip;USD;Return;07-Oct-08
DK5F;CH0006574955;DJS NORDIC 30 EUR (Price);Nordic;Blue-chip;EUR;Price;01-Jul-99
DK5G;CH0006574971;DJS NORDIC 30 EUR (Return);Nordic;Blue-chip;EUR;Return;01-Jul-99
DK5H;CH0006574963;DJS NORDIC 30 USD (Price);Nordic;Blue-chip;USD;Price;01-Jul-99
DK5I;CH0006574989;DJS NORDIC 30 USD (Return);Nordic;Blue-chip;USD;Return;01-Jul-99
DK5X;CH0037485254;DJS NORDIC 30 SEK (Price);Nordic;Blue-chip;SEK;Price;21-Apr-08
DK5Y;CH0037485262;DJS NORDIC 30 SEK (Return);Nordic;Blue-chip;SEK;Return;21-Apr-08
DK5NX;CH0037486146;DJS NORDIC 30 NOK (Price);Nordic;Blue-chip;NOK;Price;21-Apr-08
DK5NY;CH0037486153;DJS NORDIC 30 NOK (Return);Nordic;Blue-chip;NOK;Return;21-Apr-08
DK5DX;CH0037486963;DJS NORDIC 30 DKK (Price);Nordic;Blue-chip;DKK;Price;21-Apr-08
DK5DY;CH0037486971;DJS NORDIC 30 DKK (Return);Nordic;Blue-chip;DKK;Return;21-Apr-08
SXYBL;CH0043274544;DJSSB 30 USD (Price);Sub Balkan;Blue-chip;USD;Price;07-Oct-08
SXYBP;CH0043274551;DJSSB 30 EUR (Price);Sub Balkan;Blue-chip;EUR;Price;07-Oct-08
SXYBR;CH0043274577;DJSSB 30 EUR (Return);Sub Balkan;Blue-chip;EUR;Return;07-Oct-08
SXYBV;CH0043274585;DJSSB 30 USD (Return);Sub Balkan;Blue-chip;USD;Return;07-Oct-08
SXBSCE;CH0003920417;DJES Bas Mater [1000] EUR (Price);Eurozone;Industry;EUR;Price;01-Apr-99
SXBSCK;CH0003920516;DJES Bas Mater [1000] USD (Price);Eurozone;Industry;USD;Price;01-Apr-99
SXBSCT;CH0003920912;DJES Bas Mater [1000] EUR (Return);Eurozone;Industry;EUR;Return;01-Apr-99
SXBSCU;CH0003920839;DJES Bas Mater [1000] USD (Return);Eurozone;Industry;USD;Return;01-Apr-99
S3000E;CH0019110649;DJES Cns Goods [3000] EUR (Price);Eurozone;Industry;EUR;Price;20-Sep-04
S3000K;CH0019110672;DJES Cns Goods [3000] USD (Price);Eurozone;Industry;USD;Price;20-Sep-04
S3000T;CH0019110698;DJES Cns Goods [3000] EUR (Return);Eurozone;Industry;EUR;Return;20-Sep-04
S3000U;CH0019110714;DJES Cns Goods [3000] USD (Return);Eurozone;Industry;USD;Return;20-Sep-04
S5000E;CH0019110805;DJES Cns Svcs [5000] EUR (Price);Eurozone;Industry;EUR;Price;20-Sep-04
S5000K;CH0019110821;DJES Cns Svcs [5000] USD (Price);Eurozone;Industry;USD;Price;20-Sep-04
S5000T;CH0019110862;DJES Cns Svcs [5000] EUR (Return);Eurozone;Industry;EUR;Return;20-Sep-04
S5000U;CH0019110912;DJES Cns Svcs [5000] USD (Return);Eurozone;Industry;USD;Return;20-Sep-04
SXFINE;CH0003943310;DJES Fincl [8000] EUR (Price);Eurozone;Industry;EUR;Price;01-Apr-99
SXFINK;CH0003944953;DJES Fincl [8000] USD (Price);Eurozone;Industry;USD;Price;01-Apr-99
SXFINT;CH0003945141;DJES Fincl [8000] EUR (Return);Eurozone;Industry;EUR;Return;01-Apr-99
SXFINU;CH0003945208;DJES Fincl [8000] USD (Return);Eurozone;Industry;USD;Return;01-Apr-99
SXDE;EU0009658343;DJES Hea Care [4000] EUR (Price);Eurozone;Industry;EUR;Price;20-Mar-00
SXDK;EU0009659184;DJES Hea Care [4000] USD (Price);Eurozone;Industry;USD;Price;20-Mar-00
SXDT;EU0009658350;DJES Hea Care [4000] EUR (Return);Eurozone;Industry;EUR;Return;20-Mar-00
SXDU;EU0009659192;DJES Hea Care [4000] USD (Return);Eurozone;Industry;USD;Return;20-Mar-00
SXIDUE;CH0003945299;DJES Indus [2000] EUR (Price);Eurozone;Industry;EUR;Price;01-Apr-99
SXIDUK;CH0003945745;DJES Indus [2000] USD (Price);Eurozone;Industry;USD;Price;01-Apr-99
SXIDUT;CH0003946933;DJES Indus [2000] EUR (Return);Eurozone;Industry;EUR;Return;01-Apr-99
SXIDUU;CH0003947451;DJES Indus [2000] USD (Return);Eurozone;Industry;USD;Return;01-Apr-99
SXEE;EU0009658400;DJES Oil&Gas [0001] EUR (Price);Eurozone;Industry;EUR;Price;01-Apr-99
SXEK;EU0009659242;DJES Oil&Gas [0001] USD (Price);Eurozone;Industry;USD;Price;01-Apr-99
SXET;EU0009658418;DJES Oil&Gas [0001] EUR (Return);Eurozone;Industry;EUR;Return;01-Apr-99
SXEU;EU0009659259;DJES Oil&Gas [0001] USD (Return);Eurozone;Industry;USD;Return;01-Apr-99
SX8E;EU0009658541;DJES Tech [9000] EUR (Price);Eurozone;Industry;EUR;Price;01-Apr-99
SX8K;EU0009659382;DJES Tech [9000] USD (Price);Eurozone;Industry;USD;Price;01-Apr-99
SX8T;EU0009658558;DJES Tech [9000] EUR (Return);Eurozone;Industry;EUR;Return;01-Apr-99
SX8U;EU0009659390;DJES Tech [9000] USD (Return);Eurozone;Industry;USD;Return;01-Apr-99
SXKE;EU0009658566;DJES Telecom [6000] EUR (Price);Eurozone;Industry;EUR;Price;20-Mar-00
SXKK;EU0009659408;DJES Telecom [6000] USD (Price);Eurozone;Industry;USD;Price;20-Mar-00
SXKT;EU0009658574;DJES Telecom [6000] EUR (Return);Eurozone;Industry;EUR;Return;20-Mar-00
SXKU;EU0009659416;DJES Telecom [6000] USD (Return);Eurozone;Industry;USD;Return;20-Mar-00
TBSCE;CH0014294513;DJES TMI Bas Mater [1000] EUR (Price);Eurozone;Industry;EUR;Price;15-Jul-02
TBSCK;CH0014294356;DJES TMI Bas Mater [1000] USD (Price);Eurozone;Industry;USD;Price;15-Jul-02
TBSCT;CH0014294646;DJES TMI Bas Mater [1000] EUR (Return);Eurozone;Industry;EUR;Return;15-Jul-02
TBSCU;CH0014294372;DJES TMI Bas Mater [1000] USD (Return);Eurozone;Industry;USD;Return;15-Jul-02
T3000E;CH0019111324;DJES TMI Cns Goods [3000] EUR (Price);Eurozone;Industry;EUR;Price;20-Sep-04
T3000K;CH0019111357;DJES TMI Cns Goods [3000] USD (Price);Eurozone;Industry;USD;Price;20-Sep-04
T3000T;CH0019111381;DJES TMI Cns Goods [3000] EUR (Return);Eurozone;Industry;EUR;Return;20-Sep-04
T3000U;CH0019111431;DJES TMI Cns Goods [3000] USD (Return);Eurozone;Industry;USD;Return;20-Sep-04
T5000E;CH0019111522;DJES TMI Cns Svcs [5000] EUR (Price);Eurozone;Industry;EUR;Price;20-Sep-04
T5000K;CH0019111563;DJES TMI Cns Svcs [5000] USD (Price);Eurozone;Industry;USD;Price;20-Sep-04
T5000T;CH0019111597;DJES TMI Cns Svcs [5000] EUR (Return);Eurozone;Industry;EUR;Return;20-Sep-04
T5000U;CH0019111621;DJES TMI Cns Svcs [5000] USD (Return);Eurozone;Industry;USD;Return;20-Sep-04
TFINE;CH0014295338;DJES TMI Fincl [8000] EUR (Price);Eurozone;Industry;EUR;Price;15-Jul-02
TFINK;CH0014295262;DJES TMI Fincl [8000] USD (Price);Eurozone;Industry;USD;Price;15-Jul-02
TFINT;CH0014295387;DJES TMI Fincl [8000] EUR (Return);Eurozone;Industry;EUR;Return;15-Jul-02
TFINU;CH0014295304;DJES TMI Fincl [8000] USD (Return);Eurozone;Industry;USD;Return;15-Jul-02
BPHE;CH0009104263;DJES TMI Hea Care [4000] EUR (Price);Eurozone;Industry;EUR;Price;20-Nov-00
BPHK;CH0009104297;DJES TMI Hea Care [4000] USD (Price);Eurozone;Industry;USD;Price;20-Nov-00
BPHT;CH0009104321;DJES TMI Hea Care [4000] EUR (Return);Eurozone;Industry;EUR;Return;20-Nov-00
BPHU;CH0009104354;DJES TMI Hea Care [4000] USD (Return);Eurozone;Industry;USD;Return;20-Nov-00
TIDUE;CH0014295510;DJES TMI Indus [2000] EUR (Price);Eurozone;Industry;EUR;Price;15-Jul-02
TIDUK;CH0014295429;DJES TMI Indus [2000] USD (Price);Eurozone;Industry;USD;Price;15-Jul-02
TIDUT;CH0014295528;DJES TMI Indus [2000] EUR (Return);Eurozone;Industry;EUR;Return;15-Jul-02
TIDUU;CH0014295502;DJES TMI Indus [2000] USD (Return);Eurozone;Industry;USD;Return;15-Jul-02
BENE;CH0009098572;DJES TMI Oil&Gas [0001] EUR (Price);Eurozone;Industry;EUR;Price;20-Nov-00
BENK;CH0009098796;DJES TMI Oil&Gas [0001] USD (Price);Eurozone;Industry;USD;Price;20-Nov-00
BENT;CH0009098804;DJES TMI Oil&Gas [0001] EUR (Return);Eurozone;Industry;EUR;Return;20-Nov-00
BENU;CH0009098903;DJES TMI Oil&Gas [0001] USD (Return);Eurozone;Industry;USD;Return;20-Nov-00
BTHE;CH0009105518;DJES TMI Tech [9000] EUR (Price);Eurozone;Industry;EUR;Price;20-Nov-00
BTHK;CH0009105526;DJES TMI Tech [9000] USD (Price);Eurozone;Industry;USD;Price;20-Nov-00
BTHT;CH0009105534;DJES TMI Tech [9000] EUR (Return);Eurozone;Industry;EUR;Return;20-Nov-00
BTHU;CH0009105559;DJES TMI Tech [9000] USD (Return);Eurozone;Industry;USD;Return;20-Nov-00
BTEE;CH0009106128;DJES TMI Telecom [6000] EUR (Price);Eurozone;Industry;EUR;Price;20-Nov-00
BTEK;CH0009106193;DJES TMI Telecom [6000] USD (Price);Eurozone;Industry;USD;Price;20-Nov-00
BTET;CH0009106201;DJES TMI Telecom [6000] EUR (Return);Eurozone;Industry;EUR;Return;20-Nov-00
BTEU;CH0009106235;DJES TMI Telecom [6000] USD (Return);Eurozone;Industry;USD;Return;20-Nov-00
BUTE;CH0009106441;DJES TMI Util [7000] EUR (Price);Eurozone;Industry;EUR;Price;20-Nov-00
BUTK;CH0009106490;DJES TMI Util [7000] USD (Price);Eurozone;Industry;USD;Price;20-Nov-00
BUTT;CH0009106557;DJES TMI Util [7000] EUR (Return);Eurozone;Industry;EUR;Return;20-Nov-00
BUTU;CH0009106581;DJES TMI Util [7000] USD (Return);Eurozone;Industry;USD;Return;20-Nov-00
SX6E;EU0009658582;DJES Util [7000] EUR (Price);Eurozone;Industry;EUR;Price;20-Mar-00
SX6K;EU0009659424;DJES Util [7000] USD (Price);Eurozone;Industry;USD;Price;20-Mar-00
SX6T;EU0009658590;DJES Util [7000] EUR (Return);Eurozone;Industry;EUR;Return;20-Mar-00
SX6U;EU0009659432;DJES Util [7000] USD (Return);Eurozone;Industry;USD;Return;20-Mar-00
SXBSCL;CH0003985915;DJS Bas Mater [1000] USD (Price);Europe;Industry;USD;Price;01-Apr-99
SXBSCP;CH0003981427;DJS Bas Mater [1000] EUR (Price);Europe;Industry;EUR;Price;01-Apr-99
SXBSCR;CH0003986020;DJS Bas Mater [1000] EUR (Return);Europe;Industry;EUR;Return;01-Apr-99
SXBSCV;CH0003986103;DJS Bas Mater [1000] USD (Return);Europe;Industry;USD;Return;01-Apr-99
S3000L;CH0019110466;DJS Cns Goods [3000] USD (Price);Europe;Industry;USD;Price;20-Sep-04
S3000P;CH0019110425;DJS Cns Goods [3000] EUR (Price);Europe;Industry;EUR;Price;20-Sep-04
S3000R;CH0019110508;DJS Cns Goods [3000] EUR (Return);Europe;Industry;EUR;Return;20-Sep-04
S3000V;CH0019110524;DJS Cns Goods [3000] USD (Return);Europe;Industry;USD;Return;20-Sep-04
S5000L;CH0019110599;DJS Cns Svcs [5000] USD (Price);Europe;Industry;USD;Price;20-Sep-04
S5000P;CH0019110565;DJS Cns Svcs [5000] EUR (Price);Europe;Industry;EUR;Price;20-Sep-04
S5000R;CH0019110607;DJS Cns Svcs [5000] EUR (Return);Europe;Industry;EUR;Return;20-Sep-04
S5000V;CH0019110623;DJS Cns Svcs [5000] USD (Return);Europe;Industry;USD;Return;20-Sep-04
SXFINL;CH0004015316;DJS Fincl [8000] USD (Price);Europe;Industry;USD;Price;01-Apr-99
SXFINP;CH0004010341;DJS Fincl [8000] EUR (Price);Europe;Industry;EUR;Price;01-Apr-99
SXFINR;CH0004016207;DJS Fincl [8000] EUR (Return);Europe;Industry;EUR;Return;01-Apr-99
SXFINV;CH0004018781;DJS Fincl [8000] USD (Return);Europe;Industry;USD;Return;01-Apr-99
SXDL;EU0009659564;DJS Hea Care [4000] USD (Price);Europe;Industry;USD;Price;20-Mar-00
SXDP;EU0009658723;DJS Hea Care [4000] EUR (Price);Europe;Industry;EUR;Price;20-Mar-00
SXDR;EU0009658731;DJS Hea Care [4000] EUR (Return);Europe;Industry;EUR;Return;20-Mar-00
SXDV;EU0009659572;DJS Hea Care [4000] USD (Return);Europe;Industry;USD;Return;20-Mar-00
SXIDUL;CH0004022684;DJS Indus [2000] USD (Price);Europe;Industry;USD;Price;01-Apr-99
SXIDUP;CH0004022593;DJS Indus [2000] EUR (Price);Europe;Industry;EUR;Price;01-Apr-99
SXIDUR;CH0004022734;DJS Indus [2000] EUR (Return);Europe;Industry;EUR;Return;01-Apr-99
SXIDUV;CH0004022890;DJS Indus [2000] USD (Return);Europe;Industry;USD;Return;01-Apr-99
SX9L;EU0009659622;DJS Oil&Gas [0001] USD (Price);Europe;Industry;USD;Price;01-Apr-99
SXEP;EU0009658780;DJS Oil&Gas [0001] EUR (Price);Europe;Industry;EUR;Price;01-Apr-99
SXER;EU0009658798;DJS Oil&Gas [0001] EUR (Return);Europe;Industry;EUR;Return;01-Apr-99
SXEV;EU0009659630;DJS Oil&Gas [0001] USD (Return);Europe;Industry;USD;Return;01-Apr-99
SX8L;EU0009659762;DJS Tech [9000] USD (Price);Europe;Industry;USD;Price;01-Apr-99
SX8P;EU0009658921;DJS Tech [9000] EUR (Price);Europe;Industry;EUR;Price;01-Apr-99
